model,vintage,matched,distinct_matched,unmatched_distinct_names,top5_share
gpt-4-0613,1990,35,18,59,0.5428571428571428
gpt-4-0613,1995,40,24,51,0.425
gpt-4-0613,2000,28,18,62,0.5357142857142857
gpt-4-0613,2005,22,14,66,0.5454545454545454
gpt-4-0613,2010,20,12,65,0.65
gpt-4.1-2025-04-14,1990,56,28,47,0.39285714285714285
gpt-4.1-2025-04-14,1995,49,28,53,0.3673469387755102
gpt-4.1-2025-04-14,2000,41,26,63,0.34146341463414637
gpt-4.1-2025-04-14,2005,39,24,66,0.46153846153846156
gpt-4.1-2025-04-14,2010,34,23,70,0.4117647058823529
gpt-4o-2024-08-06,1990,38,17,60,0.631578947368421
gpt-4o-2024-08-06,1995,34,19,67,0.5588235294117647
gpt-4o-2024-08-06,2000,29,13,65,0.6551724137931034
gpt-4o-2024-08-06,2005,24,11,69,0.75
gpt-4o-2024-08-06,2010,27,14,69,0.6296296296296297
meta-llama/Llama-3.3-70B-Instruct-Turbo,1990,47,17,54,0.5319148936170213
meta-llama/Llama-3.3-70B-Instruct-Turbo,1995,39,14,61,0.6153846153846154
meta-llama/Llama-3.3-70B-Instruct-Turbo,2000,46,17,54,0.5869565217391305
meta-llama/Llama-3.3-70B-Instruct-Turbo,2005,30,17,70,0.6
meta-llama/Llama-3.3-70B-Instruct-Turbo,2010,35,16,60,0.6857142857142857
