model,vintage,strength,n_matched,n_post,share_post
claude-opus-4-8,1990,close,48,46,0.958
claude-opus-4-8,1990,exact,24,24,1.0
claude-opus-4-8,1995,close,47,41,0.872
claude-opus-4-8,1995,exact,20,17,0.85
claude-opus-4-8,2000,close,47,30,0.638
claude-opus-4-8,2000,exact,11,9,0.818
claude-opus-4-8,2005,close,43,28,0.651
claude-opus-4-8,2005,exact,17,16,0.941
claude-opus-4-8,2010,close,39,8,0.205
claude-opus-4-8,2010,exact,5,0,0.0
gpt-4-0613,1990,close,18,18,1.0
gpt-4-0613,1990,exact,17,16,0.941
gpt-4-0613,1995,close,16,15,0.938
gpt-4-0613,1995,exact,24,21,0.875
gpt-4-0613,2000,close,15,13,0.867
gpt-4-0613,2000,exact,13,12,0.923
gpt-4-0613,2005,close,14,9,0.643
gpt-4-0613,2005,exact,8,6,0.75
gpt-4-0613,2010,close,14,7,0.5
gpt-4-0613,2010,exact,6,0,0.0
gpt-4.1-2025-04-14,1990,close,30,29,0.967
gpt-4.1-2025-04-14,1990,exact,26,26,1.0
gpt-4.1-2025-04-14,1995,close,32,29,0.906
gpt-4.1-2025-04-14,1995,exact,17,9,0.529
gpt-4.1-2025-04-14,2000,close,32,25,0.781
gpt-4.1-2025-04-14,2000,exact,9,6,0.667
gpt-4.1-2025-04-14,2005,close,29,16,0.552
gpt-4.1-2025-04-14,2005,exact,10,6,0.6
gpt-4.1-2025-04-14,2010,close,30,14,0.467
gpt-4.1-2025-04-14,2010,exact,4,0,0.0
gpt-4o-2024-08-06,1990,close,21,20,0.952
gpt-4o-2024-08-06,1990,exact,17,17,1.0
gpt-4o-2024-08-06,1995,close,22,21,0.955
gpt-4o-2024-08-06,1995,exact,12,10,0.833
gpt-4o-2024-08-06,2000,close,16,16,1.0
gpt-4o-2024-08-06,2000,exact,13,12,0.923
gpt-4o-2024-08-06,2005,close,21,18,0.857
gpt-4o-2024-08-06,2005,exact,3,3,1.0
gpt-4o-2024-08-06,2010,close,21,12,0.571
gpt-4o-2024-08-06,2010,exact,6,5,0.833
meta-llama/Llama-3.3-70B-Instruct-Turbo,1990,close,26,26,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,1990,exact,21,21,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,1995,close,25,25,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,1995,exact,14,14,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,2000,close,34,32,0.941
meta-llama/Llama-3.3-70B-Instruct-Turbo,2000,exact,12,10,0.833
meta-llama/Llama-3.3-70B-Instruct-Turbo,2005,close,24,16,0.667
meta-llama/Llama-3.3-70B-Instruct-Turbo,2005,exact,6,5,0.833
meta-llama/Llama-3.3-70B-Instruct-Turbo,2010,close,28,4,0.143
meta-llama/Llama-3.3-70B-Instruct-Turbo,2010,exact,7,0,0.0
