model,vintage,n_post,med_lag,lib_med_lag,mean_lag,lib_mean_lag
claude-opus-4-8,1990,70,12.5,16.0,11.97,15.32
claude-opus-4-8,1995,58,10.0,11.0,8.86,11.24
claude-opus-4-8,2000,39,6.0,7.0,6.44,7.48
claude-opus-4-8,2005,44,2.0,3.0,2.61,4.37
claude-opus-4-8,2010,8,3.0,3.0,2.5,2.8
gpt-4-0613,1990,34,16.0,16.0,15.59,15.32
gpt-4-0613,1995,36,11.0,11.0,11.11,11.24
gpt-4-0613,2000,25,8.0,7.0,8.36,7.48
gpt-4-0613,2005,15,3.0,3.0,4.4,4.37
gpt-4-0613,2010,7,3.0,3.0,3.0,2.8
gpt-4.1-2025-04-14,1990,55,12.0,16.0,13.15,15.32
gpt-4.1-2025-04-14,1995,38,13.0,11.0,12.58,11.24
gpt-4.1-2025-04-14,2000,31,8.0,7.0,8.32,7.48
gpt-4.1-2025-04-14,2005,22,8.0,3.0,6.0,4.37
gpt-4.1-2025-04-14,2010,14,3.0,3.0,3.0,2.8
gpt-4o-2024-08-06,1990,37,19.0,16.0,17.24,15.32
gpt-4o-2024-08-06,1995,31,14.0,11.0,13.35,11.24
gpt-4o-2024-08-06,2000,28,9.0,7.0,8.29,7.48
gpt-4o-2024-08-06,2005,21,8.0,3.0,6.9,4.37
gpt-4o-2024-08-06,2010,17,3.0,3.0,3.18,2.8
meta-llama/Llama-3.3-70B-Instruct-Turbo,1990,47,18.0,16.0,18.04,15.32
meta-llama/Llama-3.3-70B-Instruct-Turbo,1995,39,11.0,11.0,12.18,11.24
meta-llama/Llama-3.3-70B-Instruct-Turbo,2000,42,6.0,7.0,6.45,7.48
meta-llama/Llama-3.3-70B-Instruct-Turbo,2005,21,1.0,3.0,3.86,4.37
meta-llama/Llama-3.3-70B-Instruct-Turbo,2010,4,3.5,3.0,3.5,2.8
