model,vintage,n,matched,post_date,pre_date,related,none,share_post_of_all,share_post_of_matched,library_base_rate,enrichment
claude-opus-4-8,1990,110,72,70,2,23,15,0.6363636363636364,0.9722222222222222,0.9339622641509434,1.0409652076318743
claude-opus-4-8,1995,110,67,58,9,25,18,0.5272727272727272,0.8656716417910447,0.8679245283018868,0.9974042829331602
claude-opus-4-8,2000,110,58,39,19,32,20,0.35454545454545455,0.6724137931034483,0.7594339622641509,0.8854144356393232
claude-opus-4-8,2005,110,60,44,16,21,29,0.4,0.7333333333333333,0.5188679245283019,1.4133333333333333
claude-opus-4-8,2010,110,44,8,36,39,27,0.07272727272727272,0.18181818181818182,0.19339622641509435,0.9401330376940132
gpt-4-0613,1990,110,35,34,1,18,57,0.3090909090909091,0.9714285714285714,0.9339622641509434,1.04011544011544
gpt-4-0613,1995,110,40,36,4,13,57,0.32727272727272727,0.9,0.8679245283018868,1.0369565217391303
gpt-4-0613,2000,110,28,25,3,15,67,0.22727272727272727,0.8928571428571429,0.7594339622641509,1.1756876663708962
gpt-4-0613,2005,110,22,15,7,21,67,0.13636363636363635,0.6818181818181818,0.5188679245283019,1.3140495867768593
gpt-4-0613,2010,110,20,7,13,8,82,0.06363636363636363,0.35,0.19339622641509435,1.8097560975609754
gpt-4.1-2025-04-14,1990,110,56,55,1,16,38,0.5,0.9821428571428571,0.9339622641509434,1.0515873015873016
gpt-4.1-2025-04-14,1995,110,49,38,11,13,48,0.34545454545454546,0.7755102040816326,0.8679245283018868,0.8935226264418811
gpt-4.1-2025-04-14,2000,110,41,31,10,20,49,0.2818181818181818,0.7560975609756098,0.7594339622641509,0.9956067262535979
gpt-4.1-2025-04-14,2005,110,39,22,17,18,53,0.2,0.5641025641025641,0.5188679245283019,1.087179487179487
gpt-4.1-2025-04-14,2010,110,34,14,20,25,51,0.12727272727272726,0.4117647058823529,0.19339622641509435,2.129124820659971
gpt-4o-2024-08-06,1990,110,38,37,1,16,56,0.33636363636363636,0.9736842105263158,0.9339622641509434,1.0425305688463584
gpt-4o-2024-08-06,1995,110,34,31,3,11,65,0.2818181818181818,0.9117647058823529,0.8679245283018868,1.0505115089514065
gpt-4o-2024-08-06,2000,110,29,28,1,22,59,0.2545454545454545,0.9655172413793104,0.7594339622641509,1.2713643178410796
gpt-4o-2024-08-06,2005,110,24,21,3,22,64,0.19090909090909092,0.875,0.5188679245283019,1.6863636363636363
gpt-4o-2024-08-06,2010,110,27,17,10,15,68,0.15454545454545454,0.6296296296296297,0.19339622641509435,3.2556458897922314
meta-llama/Llama-3.3-70B-Instruct-Turbo,1990,110,47,47,0,11,52,0.42727272727272725,1.0,0.9339622641509434,1.0707070707070707
meta-llama/Llama-3.3-70B-Instruct-Turbo,1995,110,39,39,0,16,55,0.35454545454545455,1.0,0.8679245283018868,1.1521739130434783
meta-llama/Llama-3.3-70B-Instruct-Turbo,2000,110,46,42,4,15,49,0.38181818181818183,0.9130434782608695,0.7594339622641509,1.2022684310018903
meta-llama/Llama-3.3-70B-Instruct-Turbo,2005,110,30,21,9,20,60,0.19090909090909092,0.7,0.5188679245283019,1.3490909090909091
meta-llama/Llama-3.3-70B-Instruct-Turbo,2010,110,35,4,31,20,55,0.03636363636363636,0.11428571428571428,0.19339622641509435,0.5909407665505226
