model,id,type,tested,pass,detail
gpt-4-0613,R1,regime,true,true,-1.164
gpt-4-0613,R2,regime,true,true,-1.762
gpt-4-0613,R3,regime,true,true,0.97
gpt-4-0613,R4,regime,true,true,-0.317
gpt-4-0613,R5,regime,true,true,-0.372
gpt-4-0613,C1,corr,true,false,0.07
gpt-4-0613,C2,corr,true,true,0.429
gpt-4-0613,C3,corr,true,true,0.72
gpt-4-0613,C4,corr,true,false,0.141
gpt-4-0613,C5,corr,true,true,0.538
gpt-4-0613,C6,corr,true,true,0.482
gpt-4-0613,S1,subperiod,true,true,2.86/3.64
gpt-4-0613,S2,subperiod,true,true,0.18/0.18
gpt-4-0613,S3,subperiod,true,true,1.28/0.27
gpt-4o-2024-08-06,R1,regime,false,,"in=0,out=11"
gpt-4o-2024-08-06,R2,regime,false,,"in=1,out=10"
gpt-4o-2024-08-06,R3,regime,false,,"in=1,out=10"
gpt-4o-2024-08-06,R4,regime,false,,"in=1,out=10"
gpt-4o-2024-08-06,R5,regime,false,,"in=1,out=10"
gpt-4o-2024-08-06,C1,corr,false,,joint=11
gpt-4o-2024-08-06,C2,corr,false,,joint=11
gpt-4o-2024-08-06,C3,corr,false,,joint=11
gpt-4o-2024-08-06,C4,corr,false,,joint=11
gpt-4o-2024-08-06,C5,corr,false,,joint=11
gpt-4o-2024-08-06,C6,corr,false,,joint=11
gpt-4o-2024-08-06,S1,subperiod,true,true,2.21/2.41
gpt-4o-2024-08-06,S2,subperiod,true,false,0.94/-0.48
gpt-4o-2024-08-06,S3,subperiod,true,false,2.65/-0.71
meta-llama_Llama-3.3-70B-Instruct-Turbo,R1,regime,false,,"in=0,out=9"
meta-llama_Llama-3.3-70B-Instruct-Turbo,R2,regime,false,,"in=1,out=8"
meta-llama_Llama-3.3-70B-Instruct-Turbo,R3,regime,false,,"in=1,out=8"
meta-llama_Llama-3.3-70B-Instruct-Turbo,R4,regime,false,,"in=1,out=8"
meta-llama_Llama-3.3-70B-Instruct-Turbo,R5,regime,false,,"in=1,out=8"
meta-llama_Llama-3.3-70B-Instruct-Turbo,C1,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,C2,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,C3,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,C4,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,C5,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,C6,corr,false,,joint=9
meta-llama_Llama-3.3-70B-Instruct-Turbo,S1,subperiod,true,true,2.33/1.69
meta-llama_Llama-3.3-70B-Instruct-Turbo,S2,subperiod,true,false,0.19/-0.76
meta-llama_Llama-3.3-70B-Instruct-Turbo,S3,subperiod,true,false,4.44/-1.78
