model,expr,regime,vol_target,multiplicity,n_months,mean_ann_pct,sharpe,t,p,by_pass,aux_tested,aux_pass,full_survivor,alpha6_t
gpt-4-0613,+1*AssetGrowth + +1*Investment,TERM_SPREAD_POSITIVE,true,1,32,1.878,0.271,0.443,0.33041,false,2,2,false,1.524
gpt-4-0613,+1*BM + +1*EP,TERM_SPREAD_POSITIVE,true,1,32,0.404,0.142,0.232,0.40888,false,2,2,false,0.561
gpt-4-0613,-1*DebtIssuance + -1*Leverage,TERM_SPREAD_NEGATIVE,true,1,32,14.586,0.771,1.259,0.10872,false,2,0,false,1.303
gpt-4-0613,+1*MRreversal + +1*STreversal,MKT_TRAILING_12M_UP,true,1,32,-3.686,-0.336,-0.548,0.70626,false,1,1,false,-0.486
gpt-4-0613,+1*AOP + +1*REV6,MKT_TRAILING_12M_UP,true,1,32,0.814,0.101,0.164,0.4353,false,1,1,false,0.515
gpt-4-0613,-1*BidAskSpread + -1*Illiquidity,MKT_TRAILING_12M_DOWN,true,1,32,10.581,0.685,1.118,0.13601,false,2,0,false,0.829
gpt-4-0613,+1*AdExp + +1*BrandInvest,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-3.783,-0.703,-1.148,0.87018,false,2,2,false,-0.677
gpt-4-0613,+0.5*Mom12m + +0.5*Size,VIX_BELOW_TRAILING_MEDIAN,true,1,32,31.873,1.602,2.615,0.00682,false,1,0,false,1.978
gpt-4-0613,+0.5*BM + -0.5*EP,TERM_SPREAD_POSITIVE,false,1,32,0.387,0.116,0.189,0.42573,false,1,0,false,1.088
gpt-4-0613,+0.5*DivYieldST + -0.5*betaVIX,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,-3.082,-0.879,-1.435,0.91936,false,1,1,false,-1.569
gpt-4-0613,+0.5*Illiquidity + -0.5*RealizedVol,VIX_BELOW_TRAILING_MEDIAN,true,1,32,5.489,0.332,0.542,0.29592,false,2,0,false,0.428
gpt-4-0613,+0.5*AssetGrowth + +0.5*RoE,TERM_SPREAD_POSITIVE,false,1,32,0.718,0.2,0.327,0.37301,false,1,0,false,0.527
gpt-4-0613,+0.5*OperProf + +0.5*SP,MKT_TRAILING_12M_UP,true,1,32,2.894,0.456,0.745,0.23095,false,1,1,false,0.235
gpt-4-0613,+0.5*IO_ShortInterest + -0.5*ShortInterest,VIX_BELOW_TRAILING_MEDIAN,false,1,32,44.018,1.292,2.109,0.02155,false,1,1,true,1.701
gpt-4-0613,+0.5*RD + +0.5*SP,MKT_TRAILING_12M_UP,true,1,32,-3.79,-0.407,-0.665,0.74443,false,1,0,false,-0.284
gpt-4-0613,+1*GrAdExp + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,13.256,1.502,2.453,0.00999,false,1,1,true,1.834
gpt-4-0613,-1*BM + -0.5*Leverage,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,0.211,0.051,0.084,0.46693,false,1,0,false,-0.375
gpt-4-0613,+0.5*EarningsSurprise + +1*Mom6m,MKT_TRAILING_12M_UP,true,1,32,9.639,0.829,1.354,0.0927,false,1,1,false,0.917
gpt-4-0613,+0.5*Mom6m + -1*STreversal,MKT_TRAILING_12M_DOWN,true,1,32,-2.159,-0.166,-0.271,0.60578,false,1,0,false,-0.775
gpt-4-0613,+1*DivYieldST + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,16.105,1.453,2.373,0.01202,false,1,1,true,1.911
gpt-4-0613,+1*ChangeInRecommendation + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,12.597,1.116,1.822,0.03907,false,1,1,false,1.482
gpt-4-0613,-1*EarningsSurprise + +0.5*LRreversal,MKT_TRAILING_12M_DOWN,true,1,32,-4.352,-0.406,-0.663,0.74395,false,1,1,false,0.479
gpt-4-0613,+1*Illiquidity + -0.5*Size,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,3.087,0.518,0.845,0.20221,false,1,0,false,1.32
gpt-4-0613,-0.5*BM + +0.5*Mom12m,MKT_TRAILING_12M_UP,false,1,32,13.735,1.122,1.832,0.03828,false,2,1,false,1.343
gpt-4-0613,+0.5*EarningsSurprise + +0.5*Mom12m,VIX_BELOW_TRAILING_MEDIAN,true,1,32,37.689,1.569,2.563,0.00773,false,1,1,true,1.821
gpt-4-0613,-0.5*LRreversal + +0.5*STreversal,TERM_SPREAD_POSITIVE,true,1,32,1.877,0.472,0.771,0.22319,false,2,0,false,-0.294
gpt-4-0613,+0.5*BM + -0.5*BidAskSpread,MKT_TRAILING_12M_UP,false,1,32,5.284,0.572,0.935,0.17863,false,2,1,false,0.39
gpt-4-0613,+1*ShareIss1Y + -1*ShareVol,TERM_SPREAD_POSITIVE,true,1,32,5.372,1.015,1.658,0.0537,false,1,1,false,1.094
gpt-4-0613,-0.5*AssetGrowth + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,15.088,1.092,1.782,0.04224,false,2,1,false,1.35
gpt-4-0613,+0.5*EarningsSurprise + -0.5*STreversal,VIX_BELOW_TRAILING_MEDIAN,false,1,32,0.046,0.006,0.01,0.49594,false,2,1,false,0.61
gpt-4-0613,+0.5*High52 + +0.5*Mom12m,MKT_TRAILING_12M_UP,false,1,32,16.392,1.147,1.873,0.03529,false,1,1,false,1.139
gpt-4-0613,-0.5*BM + +0.5*Mom12m,VIX_BELOW_TRAILING_MEDIAN,true,1,32,30.603,1.517,2.477,0.00946,false,2,1,false,1.769
gpt-4-0613,+1*AssetGrowth + -0.5*SP,TERM_SPREAD_POSITIVE,true,1,32,-0.415,-0.148,-0.241,0.59443,false,2,2,false,1.495
gpt-4-0613,+0.5*EarningsConsistency + +0.5*OperProf,MKT_TRAILING_12M_UP,false,1,32,4.145,0.61,0.996,0.16348,false,0,0,false,0.16
gpt-4-0613,-1*NOA + +1*ShortInterest,TERM_SPREAD_NEGATIVE,true,1,32,30.453,1.116,1.822,0.03903,false,2,2,false,1.404
gpt-4-0613,-0.5*BM + +1*IdioVolAHT,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-1.395,-0.264,-0.43,0.66504,false,1,0,false,-0.641
gpt-4-0613,-1*AssetGrowth + +1*Leverage,MKT_TRAILING_12M_DOWN,true,1,32,-4.322,-0.199,-0.326,0.6266,false,2,1,false,-1.756
gpt-4-0613,+1*ForecastDispersion + -1*Price,NONE,false,1,32,31.293,0.762,1.244,0.11134,false,1,1,false,0.539
gpt-4-0613,+0.5*Accruals + +0.5*CF,NONE,false,1,32,7.146,0.6,0.979,0.16753,false,1,1,false,0.249
gpt-4-0613,+1*DivYieldST + -0.5*ShareVol,MKT_TRAILING_12M_DOWN,true,1,32,1.184,0.198,0.324,0.37408,false,1,0,false,-0.168
gpt-4-0613,-0.5*BidAskSpread + +1*STreversal,MKT_TRAILING_12M_UP,false,1,32,7.497,0.572,0.934,0.17873,false,2,1,false,-0.156
gpt-4-0613,+0.5*AssetGrowth + -1*Cash,VIX_ABOVE_TRAILING_MEDIAN,true,2,32,1.423,0.196,0.32,0.37557,false,1,0,false,-0.229
gpt-4-0613,-0.5*ShortInterest + +0.5*fgr5yrLag,NONE,false,1,32,-8.643,-0.94,-1.534,0.93247,false,2,2,false,-1.481
gpt-4-0613,+1*BookLeverage + -0.5*ShareIss1Y,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-16.631,-1.014,-1.655,0.946,false,1,0,false,-1.135
gpt-4-0613,-0.5*PayoutYield + +1*RD,MKT_TRAILING_12M_UP,false,1,32,-11.583,-0.73,-1.192,0.87882,false,2,0,false,-0.458
gpt-4-0613,+0.5*BM + +0.5*GP + -0.5*STreversal,MKT_TRAILING_12M_DOWN,true,1,32,7.3,0.238,0.389,0.35001,false,1,0,false,0.318
gpt-4-0613,+1*Mom12m + -1*ShareIss1Y,NONE,false,1,32,15.429,0.703,1.147,0.12998,false,2,0,false,0.929
gpt-4-0613,+0.5*BM + +0.5*GP + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,12.676,1.646,2.687,0.00574,false,2,1,false,1.889
gpt-4-0613,+1*BidAskSpread + -1*IdioVolAHT,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-23.45,-0.698,-1.14,0.86853,false,1,0,false,-0.681
gpt-4-0613,+1*Mom12m + +1*RDcap,MKT_TRAILING_12M_UP,true,1,32,11.743,0.997,1.629,0.05673,false,1,0,false,1.452
gpt-4-0613,+1*BM + +1*Leverage,MKT_TRAILING_12M_UP,true,1,32,0.644,0.112,0.183,0.4281,false,2,1,false,0.08
gpt-4-0613,+0.5*GP + +0.5*Mom12m + -0.5*ShareIss1Y,NONE,false,1,32,17.23,1.18,1.927,0.0316,false,1,1,false,1.405
gpt-4-0613,+0.5*Beta + -1*IdioVolAHT + +1*Mom12m,MKT_TRAILING_12M_DOWN,true,1,32,0.729,0.051,0.083,0.46714,false,1,1,false,-0.609
gpt-4-0613,+0.5*AssetGrowth + +0.5*IntanEP,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-4.697,-0.24,-0.391,0.65082,false,2,1,false,-0.013
gpt-4-0613,-0.5*Leverage + +0.5*MeanRankRevGrowth,TERM_SPREAD_POSITIVE,true,1,32,-0.754,-0.261,-0.427,0.66376,false,1,0,false,-0.317
gpt-4-0613,+1*BM + -1*BidAskSpread,MKT_TRAILING_12M_DOWN,false,1,32,15.499,0.609,0.994,0.1639,false,1,0,false,1.444
gpt-4-0613,+1*DelBreadth + +1*EarningsSurprise,MKT_TRAILING_12M_UP,true,1,32,10.017,0.933,1.523,0.06892,false,2,2,false,1.127
gpt-4-0613,+1*EarningsConsistency + -1*IdioVolAHT,VIX_ABOVE_TRAILING_MEDIAN,true,2,32,3.62,0.569,0.93,0.1798,false,2,2,false,0.604
gpt-4-0613,+1*AssetGrowth + -0.5*Leverage,TERM_SPREAD_POSITIVE,true,2,32,-0.475,-0.234,-0.382,0.6476,false,1,0,false,1.22
gpt-4-0613,-0.5*Price + +0.5*RevenueSurprise,MKT_TRAILING_12M_DOWN,false,1,32,8.019,0.578,0.943,0.1764,false,2,1,false,0.494
gpt-4-0613,+0.5*AdExp + +0.5*GrSaleToGrInv,TERM_SPREAD_POSITIVE,true,1,32,-2.885,-1.096,-1.79,0.95836,false,1,0,false,-0.954
gpt-4-0613,+0.5*BookLeverage + +0.5*Cash,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-1.367,-0.08,-0.131,0.55172,false,2,0,false,0.247
gpt-4-0613,+0.5*Beta + +0.5*Mom12m,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,5.373,0.489,0.798,0.21549,false,2,1,false,-0.059
gpt-4-0613,+0.5*DivYieldST + -0.5*Price,TERM_SPREAD_POSITIVE,true,1,32,3.072,0.815,1.332,0.09633,false,1,1,false,0.86
gpt-4-0613,+0.5*GP + +0.5*GrSaleToGrInv,TERM_SPREAD_NEGATIVE,false,1,32,9.336,1.092,1.783,0.0422,false,2,1,false,1.602
gpt-4-0613,-0.5*BidAskSpread + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,1,32,9.178,0.965,1.576,0.06256,false,0,0,false,1.029
gpt-4-0613,+0.5*EarningsConsistency + -0.5*Price,MKT_TRAILING_12M_DOWN,false,1,32,10.292,0.732,1.195,0.12055,false,2,1,false,0.615
gpt-4-0613,+0.5*ConsRecomm + +0.5*ShareVol,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-17.042,-0.949,-1.55,0.93438,false,1,0,false,-1.06
